SIM Count,RAM Size,Battery Size,Internal Memory,Version,Screen Size,SIM Type,Colour Name,Condition,Model Number,Model Name,Title,Price,Brand,Rating,Product Image,Product Link,Expandable Memory Type,Secondary Camera Resolution,Charging Type,Processor Speed,Secondary Camera,Product Weight,Display Type,Display Resolution Type,Operating System,Operating System Number,Processor Number,Fast Charging,What's In The Box,Network Frequency Band,Number of Cores,Glass Technology,Primary Camera Feature,Flash,Video Recording Resolution Type,Water/Dust Properties,Finish,Model Year,Network Type,Product Length,Product Height,Product Width/Depth,Maximum Expandable Memory,Primary Camera (MP),Voice Calling Capability,Processor Name,Sensor,Display Resolution,Refresh Rates,Operating System Version,Audio Jack,Camera Type,Battery Type,Pixels Per Inch,Network,Wireless
Dual SIM,6 GB,6000 mAh,256 GB,Middle East Version,6.8 in,Nano SIM,Flowing Silver,New,CLK - LX2,X7b,"X7b Dual SIM 6GB RAM 256GB 4G - Flowing Silver, With Honor X6 Earbuds - White",EGP 9650.00 Inclusive of VAT,Honor,5,"['https://f.nooncdn.com/p/pnsku/N70070457V/45/_/1715139127/834919ba-44a1-466e-bbb7-4fe8dbf8a2ae.jpg', 'https://f.nooncdn.com/p/pnsku/N70070456V/45/_/1715139123/ba9199a8-1d9c-4ba0-8c84-3022c2f63ca3.jpg', 'https://f.nooncdn.com/p/pnsku/N70070455V/45/_/1715139117/3a0372d7-bfdc-4176-84df-dcd7303dad0d.jpg']",https://www.noon.com/egypt-en/x7b-dual-sim-6gb-ram-256gb-4g-flowing-silver-with-honor-x6-earbuds-white/N70070456V/p/?o=cd9c76eff4ef546b,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dual SIM,6 GB,6000 mAh,256 GB,Middle East Version,6.8 in,Nano SIM,Emerald Green,New,CLK - LX2,X7b,"X7b Dual SIM  6GB RAM 256GB 4G - Emerald Green, With Honor X6 Earbuds - White",EGP 9650.00 Inclusive of VAT,Honor,4.5,"['https://f.nooncdn.com/p/pnsku/N70070457V/45/_/1715139127/834919ba-44a1-466e-bbb7-4fe8dbf8a2ae.jpg', 'https://f.nooncdn.com/p/pnsku/N70070456V/45/_/1715139123/ba9199a8-1d9c-4ba0-8c84-3022c2f63ca3.jpg', 'https://f.nooncdn.com/p/pnsku/N70070455V/45/_/1715139117/3a0372d7-bfdc-4176-84df-dcd7303dad0d.jpg']",https://www.noon.com/egypt-en/x7b-dual-sim-6gb-ram-256gb-4g-emerald-green-with-honor-x6-earbuds-white/N70070457V/p/?o=be0b92ad992f323a,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dual SIM,6 GB,6000 mAh,256 GB,Middle East Version,6.8 in,Nano SIM,Midnight Black,New,CLK - LX2,X7b,"X7b Dual SIM 6GB RAM 256GB 4G - Midnight Black, With Honor X6 Earbuds - White",EGP 9650.00 Inclusive of VAT,Honor,5,"['https://f.nooncdn.com/p/pnsku/N70070457V/45/_/1715139127/834919ba-44a1-466e-bbb7-4fe8dbf8a2ae.jpg', 'https://f.nooncdn.com/p/pnsku/N70070456V/45/_/1715139123/ba9199a8-1d9c-4ba0-8c84-3022c2f63ca3.jpg', 'https://f.nooncdn.com/p/pnsku/N70070455V/45/_/1715139117/3a0372d7-bfdc-4176-84df-dcd7303dad0d.jpg']",https://www.noon.com/egypt-en/x7b-dual-sim-6gb-ram-256gb-4g-midnight-black-with-honor-x6-earbuds-white/N70070455V/p/?o=acec4395fb86acad,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dual SIM,8 GB,5000 mAh,128 GB,International Version,6.79 in,Nano SIM,Midnight Black,,MZB0FCOEN / 23053RN02A,Redmi 12,Redmi 12 Dual SIM Midnight Black 8GB RAM 128GB 4G - Global Version,EGP 6349.00 Inclusive of VAT,Xiaomi,4.2,"['https://f.nooncdn.com/p/v1688911944/N53414856A_1.jpg', 'https://f.nooncdn.com/p/v1688911942/N53414855A_1.jpg', 'https://f.nooncdn.com/p/v1689515174/N53414854A_1.jpg']",https://www.noon.com/egypt-en/redmi-12-dual-sim-midnight-black-8gb-ram-128gb-4g-global-version/N53414856A/p/?o=fc2885c4180dd44c,MicroSD,8 MP,Type-C,2 GHz,8 - 11.9 MP,198.5 g,IPS LCD,FHD+,Android,13,G88,Yes,"Redmi 12  Mobile, Adapter, Charging Cabel Type-C, Clear Cover",GSM/LTE,Octa Core,Gorilla Glass,Triple,LED,1080p,Water Resistant and Dust Resistant,Glass,2023,4G,168.6 mm,8.17 mm,76.28 mm,1 TB,50+8+2MP,,,,,,,,,,,,
Dual SIM,2 GB,5000 mAh,64 GB,Middle East Version,6.6 in,Nano SIM,Timber Black,New,"X6525 , X6525D",Smart 8,Smart 8 Dual SIM Timber Black 2GB RAM 64GB 4G - Middle East Version,EGP 3829.45 Inclusive of VAT,Infinix,4.6,[],https://www.noon.com/egypt-en/smart-8-dual-sim-timber-black-2gb-ram-64gb-4g-middle-east-version/N70104740V/p/?o=d9a7c6b191242b1e,,,Type-C,,,,,,Android,,,,,LTE,,,,,,,,,4G,,,,,,Yes,,,,,,,,,,,
Dual SIM,2 GB,5000 mAh,64 GB,Middle East Version,6.6 in,Nano SIM,Galaxy White,New,"X6525 , X6525D",Smart 8,Smart 8 Dual SIM Galaxy White 2GB RAM 64GB 4G - Middle East Version,EGP 3829.50 Inclusive of VAT,Infinix,4.6,[],https://www.noon.com/egypt-en/smart-8-dual-sim-galaxy-white-2gb-ram-64gb-4g-middle-east-version/N70105530V/p/?o=d9250715028c6cea,,,Type-C,,,,,,Android,,,,,LTE,,,,,,,,,4G,,,,,,Yes,,,,,,,,,,,
Dual SIM,4 GB,5000 mAh,256 GB,Middle East Version,6.6 in,Nano SIM,Starlish Black,New,A70,A70,A70 Dual SIM Starlish Black 4GB RAM 256GB 4G - Middle East Version,EGP 4199.00 Inclusive of VAT,ITEL,4.2,"['https://f.nooncdn.com/p/pnsku/N70027156V/45/_/1701156383/bae812e8-a908-47e9-acf4-fc960a5e5759.jpg', 'https://f.nooncdn.com/p/pnsku/N70027159V/45/_/1701156153/0c13b5b6-4d9c-4159-8bd5-4b242bef24b8.jpg', 'https://f.nooncdn.com/p/pnsku/N70027160V/45/_/1701156243/be9e0f19-6f5d-46ce-a627-3c1710cb399d.jpg', 'https://f.nooncdn.com/p/pnsku/N70027157V/45/_/1701156193/1e032bd0-f4cd-44ea-aa51-b62371dda737.jpg']",https://www.noon.com/egypt-en/a70-dual-sim-starlish-black-4gb-ram-256gb-4g-middle-east-version/N70027157V/p/?o=c62cd10bae14348d,,8 MP,Type-C,,8 - 11.9 MP,,,,,,T603,,,LTE,Octa Core,,,,,,,,4G,,,,,13MP,Yes,Unisoc,,,,,,,,,,
Dual SIM,2 GB,5000 mAh,64 GB,Middle East Version,6.6 in,Nano SIM,Shiny Gold,New,"X6525 , X6525D",Smart 8,Smart 8 Dual SIM Shiny Gold 2GB RAM 64GB 4G - Middle East Version,EGP 3829.50 Inclusive of VAT,Infinix,4.4,[],https://www.noon.com/egypt-en/smart-8-dual-sim-shiny-gold-2gb-ram-64gb-4g-middle-east-version/N70105529V/p/?o=e113867e88ec3c3b,,,Type-C,,,,,,Android,,,,,LTE,,,,,,,,,4G,,,,,,Yes,,,,,,,,,,,
Dual SIM,4 GB,5000 mAh,128 GB,Middle East Version,6.6 in,Nano SIM,Shinny Gold,New,X6525,Smart 8,Smart 8 Dual SIM Shinny Gold 4+4GB RAM 128GB 4G - Middle East Version,EGP 4299.00 Inclusive of VAT,Infinix,4.3,"['https://f.nooncdn.com/p/pnsku/N70024020V/45/_/1710700304/e85633b5-d371-401a-9d94-ef0fc56127cb.jpg', 'https://f.nooncdn.com/p/pnsku/N70024015V/45/_/1710700292/8de5d758-db7c-42ff-ba71-5e446260d1da.jpg', 'https://f.nooncdn.com/p/pnsku/N70024017V/45/_/1710700295/fddbf118-aed7-45d0-85a7-8bfb4903e3e4.jpg', 'https://f.nooncdn.com/p/pnsku/N70024016V/45/_/1710700295/5d1d5c3a-b8b7-424a-8651-a25d88a54d46.jpg']",https://www.noon.com/egypt-en/smart-8-dual-sim-shinny-gold-4-4gb-ram-128gb-4g-middle-east-version/N70024017V/p/?o=ba93f56a686b6f7d,MicroSD,8 MP,Type-C,1.6 GHz,8 - 11.9 MP,184 g,,,Android,13,Unisoc T606,,"Mobile, Plug, Headset, Clear Cover, Screen protector",LTE,Octa Core,,,,,,,2023,4G,,75.6 mm,8.5 mm,2 TB,13MP,Yes,Unisoc,"Fingerprint Scanner, Proximity Sensors, gyroscope",,,,,,,,,
Dual SIM,8 GB,5000 mAh,256 GB,Middle East Version,6.56 in,Nano SIM,Starlit Black,New,"X6528B, X6528",Hot 40i,Hot 40i Dual SIM Starlit Black 8+8GB RAM 256GB 4G - Middle East Version,EGP 6066.00 Inclusive of VAT,Infinix,4.2,"['https://f.nooncdn.com/p/pnsku/N70024026V/45/_/1710700304/ded4542b-6050-4a27-91a6-ad9c4a6a44a2.jpg', 'https://f.nooncdn.com/p/pnsku/N70024022V/45/_/1710700292/1d533494-0c85-459c-a2ce-fbee3600dec0.jpg', 'https://f.nooncdn.com/p/pnsku/N70024025V/45/_/1718065177/841cb2fc-7258-4889-aac1-14f60661a733.jpg', 'https://f.nooncdn.com/p/pnsku/N70024024V/45/_/1710700299/b8e017ea-f61e-4b2f-807a-b0c2a8793820.jpg']",https://www.noon.com/egypt-en/hot-40i-dual-sim-starlit-black-8-8gb-ram-256gb-4g-middle-east-version/N70024024V/p/?o=c1364a9e19cabd7b,MicroSD,32 MP,Type-C,1.6 GHz,32 MP & Above,190 g,,,Android,13,Unisoc T606,,"Mobile, Plug , Headset, Clear Cover, Screen protector",LTE,Octa Core,,,,,,,2023,4G,163.59 mm,75.59 mm,8.3 mm,1 TB,50MP,Yes,Unisoc,"Fingerprint Scanner, Proximity Sensors, gyroscope",720x1612,,,,,,,,
